,F1,F2
0,1.047751315,0.071995475
1,0.020275271,0.16104918
2,-0.671793363,0.750891457
3,-0.774415181,0.649314247
4,-0.3798327,0.952657631
5,1.027371121,-0.405863352
6,0.813695011,0.622702026
7,0.933133283,-0.53364476
8,-0.56931468,0.796936001
9,0.71210294,0.710362291
10,-0.292818327,0.893807049
11,-0.6564165,0.802021006
12,0.555248823,0.852559848
13,0.066458308,0.18579208
14,1.852681371,0.263772846
15,1.510692452,-0.382177703
16,0.422017719,0.887060266
17,1.283128648,-0.460987746
18,1.984117006,0.264703092
19,0.973626471,0.08885661
20,2.073960816,0.355886927
21,1.037195829,-0.473373068
22,1.218794709,-0.487895873
23,0.161177626,0.955002079
24,0.289626214,1.039029911
25,-0.938634438,0.584218721
26,0.65514744,-0.510519458
27,-0.822117222,0.513658807
28,1.552751775,-0.177519702
29,1.526202609,-0.317397976
30,0.752341452,0.529638608
31,0.729104948,-0.509370207
32,-0.676660716,0.713208656
33,1.622019739,-0.313745318
34,0.864492356,-0.430773703
35,-0.974162345,0.259769959
36,0.042979673,0.138683992
37,0.884902927,0.362515489
38,-0.24763237,0.959747672
39,0.26225787,-0.199545001
40,-0.972941254,0.397233687
41,-0.705034204,0.815500024
42,1.429513298,-0.461592372
43,-0.286461235,1.012854976
44,0.77577259,0.489972171
45,0.370943109,-0.250772577
46,-0.88832004,0.430721084
47,0.425176228,-0.304296014
48,0.146268201,0.962719136
49,-0.499267167,0.776954433
50,0.626609818,0.829298096
51,-0.051920964,1.041795112
52,-0.75223908,0.51269703
53,-0.816312081,0.495974539
54,0.542444851,0.939924054
55,-0.170040158,1.012617395
56,1.974592498,0.202264148
57,-0.724093375,0.695814477
58,0.819010048,0.662787177
59,1.996674191,0.067352976
60,-0.830345537,0.488730608
61,1.996023123,0.427436445
62,0.006106661,0.482850543
63,1.360750855,-0.388331427
64,0.753041055,0.757778833
65,0.135866658,0.854993028
66,0.653436049,-0.451455522
67,-0.989325446,0.176856335
68,0.699320803,-0.452777334
69,0.744325728,0.446092094
70,-0.922932642,0.342650946
71,0.277238077,-0.206970255
72,-0.419403273,0.894557216
73,-1.091184899,0.006624588
74,0.486594253,0.863261314
75,-0.087063515,0.929124302
76,1.32146311,-0.41201368
77,1.996922811,0.270659264
78,0.027344201,1.044046746
79,0.683082648,0.734318344
80,0.362792208,-0.229265791
81,0.354440492,-0.284018843
82,0.074162291,0.945487894
83,0.38958541,-0.358196996
84,-0.030261546,1.012186417
85,0.826647505,0.420401419
86,0.366775996,0.972090655
87,-0.420555868,0.95335556
88,0.386268979,0.866442364
89,0.148014649,-0.092009092
90,0.980878697,0.212020762
91,0.469659729,0.856457374
92,-0.017649143,1.019929268
93,-0.927841565,0.17883527
94,1.012546966,0.015017229
95,0.208886981,-0.147056433
96,1.633607339,-0.231196958
97,0.737725473,-0.506810991
98,-0.922075112,0.002331285
99,1.967294623,0.348734652
100,0.92286732,0.402687974
101,0.592121355,0.767339379
102,0.021809544,0.215868056
103,0.856108268,-0.466319962
104,-0.989739395,0.009044178
105,1.257413121,-0.453105131
